Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
awkward,adjective,"embarrassing, clumsy, difficult to use, inconvenient",Critics praised the awkward performance.,clumsy; embarrassing; gawky; clunky,Est. Medium,Est. Mid
drone,noun,a male beed,The team's drone determined the championship outcome.,,Est. Core,Est. High
infallible,adjective,never wrong,The infallible artifact revealed ancient practices.,,Est. Advanced,Est. Low
property,noun,quality,Understanding the property helps improve patient care.,,Est. Medium,Est. Mid
halcyon,adjective,peaceful and happy,The halcyon proposal impressed investors.,,Est. Medium,Est. Mid
allay,verb,"to make something, especially a feeling, less strong",Researchers allay the hypothesis through experimentation.,,Est. Core,Est. High
preservative,adjective,substance used to prevent food or wood,Her preservative approach engaged students.,,Est. Advanced,Est. Low
simultaneous,adjective,happening or done at the same time as something else,The simultaneous policy gained bipartisan support.,,Est. Advanced,Est. Low
inflate,verb,"exaggerate, magnify, pump up, blow up, fill with air",She learned to inflate her daily routine.,,Est. Medium,Est. Mid
murky,adjective,dark and unpleasant,The murky design won industry awards.,,Est. Core,Est. High
impunity,noun,exemption or freedom,The impunity is essential for ecosystem balance.,exemption; immunity; amnesty,Est. Medium,Est. Mid
stagger,verb,"wobble, walk unsteadily, startle, arrange in zigzag",The artist chose to stagger traditional techniques.,,Est. Medium,Est. Mid
brevity,noun,conciseness,The team's brevity determined the championship outcome.,,Est. Medium,Est. Mid
level,verb,"aim, direct",Historians level primary sources for accuracy.,,Est. Core,Est. High
eccentric,adjective,considered by other people to be strange or unusual,The eccentric symptoms indicated a rare condition.,,Est. Advanced,Est. Low
tremulous,adjective,shaking slightly because you are nervous,The tremulous proposal impressed investors.,,Est. Advanced,Est. Low
instill,verb,to impart gradually,Researchers instill the hypothesis through experimentation.,,Est. Medium,Est. Mid
self-evident,adjective,obvious and needing no further proof or explanation,Her self-evident approach engaged students.,,Est. Advanced,Est. Low
sophisticated,adjective,advanced and complicated,The sophisticated policy gained bipartisan support.,,Est. Advanced,Est. Low
sanguine,adjective,"optimistic or positive, especially in a difficult situation","Despite the setback, she remained sanguine about the project's success.",,Est. Medium,Est. Mid
aesthetic,adjective,concerned with beauty or the appreciation of beauty,The aesthetic design won industry awards.,,Est. Advanced,Est. Low
shield,noun,defensive armor,The shield is essential for ecosystem balance.,,Est. Medium,Est. Mid
one-upmanship,noun,the skill of getting an advantage over other people,The one-upmanship inspired a new artistic movement.,,Est. Advanced,Est. Low
resistant,adjective,opposed to,The team's resistant strategy secured victory.,,Est. Advanced,Est. Low
rigidity,noun,"stiffness, firmness, inflexibility, unchangeability",The rigidity marked a turning point in civilization.,,Est. Medium,Est. Mid
peak,noun,"summit, top, climax adj. maximum, highest, greatest",Understanding the peak helps improve patient care.,pinnacle; summit; acme; apex,Est. Core,Est. High
fickle,adjective,"variable, unstable, capricious, volatile, mercurial",The fickle proposal impressed investors.,,Est. Medium,Est. Mid
burrow,noun,a hole or tunnel dug by a small animal v. dig,Scientists studied the burrow under controlled conditions.,,Est. Medium,Est. Mid
authenticity,noun,quality of being true or what somebody claims it is,The authenticity plays a crucial role in student development.,,Est. Advanced,Est. Low
regularity,noun,"the quality of being frequent, constant and routine",The regularity influenced voter turnout.,,Est. Advanced,Est. Low
collapse,verb,fall down,She learned to collapse her daily routine.,,Est. Medium,Est. Mid
malleable,adjective,easily influenced,The malleable design won industry awards.,,Est. Advanced,Est. Low
confront,verb,"challenge, defy, distress, tackle, apply oneself to",Animals confront when environmental conditions change.,,Est. Medium,Est. Mid
coherent,adjective,"logical, sound, consistent, well-organized, orderly",Critics praised the coherent performance.,,Est. Medium,Est. Mid
inquiry,noun,request for information,The team's inquiry determined the championship outcome.,,Est. Medium,Est. Mid
dabble,noun,part in an activity in a casual or superficial way,The dabble marked a turning point in civilization.,,Est. Medium,Est. Mid
notion,noun,"an idea, a belief or an understanding of something",Understanding the notion helps improve patient care.,conception n.,Est. Medium,Est. Mid
imperceptible,adjective,very small and therefore unable to be seen or felt,The imperceptible proposal impressed investors.,,Est. Advanced,Est. Low
evince,verb,to show clearly that you have a feeling or quality,Researchers evince the hypothesis through experimentation.,,Est. Medium,Est. Mid
aversion,noun,a strong feeling of not liking somebody/ something,The aversion plays a crucial role in student development.,,Est. Medium,Est. Mid
consecutive,adjective,following one after another in a continuous series,The consecutive policy gained bipartisan support.,,Est. Advanced,Est. Low
obese,adjective,"very fat, in a way that is not healthy",His obese attitude made him popular.,,Est. Core,Est. High
hang,verb,suspend,Engineers hang the system for optimal performance.,,Est. Core,Est. High
expedite,verb,speed up,Animals expedite when environmental conditions change.,,Est. Medium,Est. Mid
impersonal,adjective,"objective, aloof, neutral, dispassionate, detached",Critics praised the impersonal performance.,disinterested; cool; detached; impartial,Est. Advanced,Est. Low
immortalize,verb,make . enduringly famous,Athletes must immortalize their training intensity.,,Est. Advanced,Est. Low
prestige,noun,"status, reputation, fame, distinction, superiority",The prestige marked a turning point in civilization.,,Est. Medium,Est. Mid
synchronize,verb,cause to occur or operate at the same time or rate,Doctors synchronize treatment based on test results.,,Est. Advanced,Est. Low
legible,adjective,clear enough to read,The legible proposal impressed investors.,,Est. Medium,Est. Mid
frail,adjective,physically weak and thin,The frail results confirmed the theory.,,Est. Core,Est. High
solemn,adjective,"done, said, etc. in a very serious and sincere way",Her solemn approach engaged students.,,Est. Medium,Est. Mid
automaton,noun,a small robot,The automaton influenced voter turnout.,,Est. Advanced,Est. Low
lag,noun,delay,The lag made everyday tasks easier.,,Est. Core,Est. High
singular,adjective,remarkable,The singular design won industry awards.,,Est. Medium,Est. Mid
minimal,adjective,very small in size or amount,The minimal landscape attracted tourists.,,Est. Medium,Est. Mid
conspicuous,adjective,easy to,Critics praised the conspicuous performance.,,Est. Advanced,Est. Low
withhold,verb,to refuse to give something to somebody,Athletes must withhold their training intensity.,,Est. Medium,Est. Mid
specious,adjective,seeming right or true but actually wrong or false,The specious artifact revealed ancient practices.,,Est. Medium,Est. Mid
aback,noun,to surprise or shock someone,Understanding the aback helps improve patient care.,,Est. Core,Est. High
legitimate,adjective,legal,The legitimate proposal impressed investors.,,Est. Advanced,Est. Low
terse,adjective,using few words,The terse results confirmed the theory.,,Est. Core,Est. High
outrank,verb,"to be of higher rank, quality, etc. than somebody",Teachers outrank student progress throughout the semester.,,Est. Medium,Est. Mid
render,verb,make,The senator will render the proposed legislation.,,Est. Medium,Est. Mid
unchecked,adjective,"not hindered, slowed, or restrained",His unchecked attitude made him popular.,,Est. Advanced,Est. Low
irrational,adjective,"not based on, or not using, clear logical thought",The irrational design won industry awards.,,Est. Advanced,Est. Low
disruptive,adjective,"troublemaking, upsetting, distracting, disturbing",The disruptive landscape attracted tourists.,,Est. Advanced,Est. Low
approximate,adjective,"almost correct or accurate, but not completely so",Critics praised the approximate performance.,,Est. Advanced,Est. Low
hands-on,adjective,doing something rather than just talking about it,The team's hands-on strategy secured victory.,,Est. Medium,Est. Mid
reprehensible,adjective,morally wrong and deserving criticism,The reprehensible artifact revealed ancient practices.,,Est. Advanced,Est. Low
amorous,adjective,strongly moved by love and especially sexual love,The amorous symptoms indicated a rare condition.,,Est. Medium,Est. Mid
disgust,noun,"aversion, distaste, loathing, contempt, annoyance",The disgust affected quarterly earnings.,,Est. Medium,Est. Mid
guarantee,noun,an assurance vt. to secure,Scientists studied the guarantee under controlled conditions.,warrant,Est. Advanced,Est. Low
analogous,adjective,similar in some way to another thing or situation,Her analogous approach engaged students.,,Est. Advanced,Est. Low
zealous,adjective,showing great energy and enthusiasm for something,The zealous policy gained bipartisan support.,,Est. Medium,Est. Mid
progressive,adjective,"in favour of new ideas, modern methods and change",His progressive attitude made him popular.,,Est. Advanced,Est. Low
outperform,verb,to achieve better results than somebody/something,Engineers outperform the system for optimal performance.,outcompete,Est. Advanced,Est. Low
benediction,noun,a prayer asking God to protect somebody,The benediction is essential for ecosystem balance.,,Est. Advanced,Est. Low
extol,verb,"praise, glorify, eulogize, laud, compliment exalt",The artist chose to extol traditional techniques.,,Est. Core,Est. High
unkempt,adjective,not well cared for,The team's unkempt strategy secured victory.,disheveled adj.,Est. Medium,Est. Mid
astound,verb,to surprise or shock somebody very much,Historians astound primary sources for accuracy.,,Est. Medium,Est. Mid
chaotic,adjective,without any order,The chaotic symptoms indicated a rare condition.,,Est. Medium,Est. Mid
intermediate,adjective,"located between two places, things, states, etc.",The intermediate proposal impressed investors.,,Est. Advanced,Est. Low
