Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
veteran,noun,an experienced person,The veteran proved more complex than initially anticipated.,,Medium,Mid
inflammable,adjective,flammable,His inflammable reasoning convinced the board members.,,Advanced,Low
trivial,adjective,not important or serious,The trivial results confirmed initial predictions.,,Medium,Mid
docile,adjective,easily led or managed,Market conditions remained docile throughout the year.,,Medium,Mid
repercussion,noun,"consequence, result, effect, outcome, byproduct",Competition revealed each participant's repercussion.,reverberation n.,Advanced,Low
possessive,adjective,controlling,Students found the possessive explanation helpful.,,Advanced,Low
glean,verb,to gather bit by bit,Companies glean customer feedback to improve products.,,Core,High
outnumber,verb,to be greater in number than somebody/something,Doctors outnumber treatment based on patient response.,,Advanced,Low
embed,verb,to fix something in a substance or solid object,Students embed their study habits before finals.,,Core,High
genial,adjective,friendly and cheerful,Weather remained genial during the expedition.,,Medium,Mid
covert,adjective,"secret or hidden, making it difficult to notice",Her covert approach solved the complex problem.,,Medium,Mid
subsume,verb,include or absorb in something else,Engineers subsume the bridge design after stress tests.,,Medium,Mid
omen,noun,a sign of what is going to happen in the future,The omen affected production schedules throughout the quarter.,,Core,High
thrifty,adjective,"careful with money, frugal, sparing, provident",The thrifty conditions lasted several weeks.,economical; frugal,Medium,Mid
spin,verb,"reel, whirl, revolve, turn around",Historians spin the accuracy of ancient texts.,,Core,High
spoilsport,noun,one who spoils the sport or pleasure of others,The spoilsport proved more complex than initially anticipated.,,Advanced,Low
fine,adjective,made of very small grains,His fine reasoning convinced the board members.,,Core,High
cognizant,adjective,having knowledge or understanding of something,The cognizant results confirmed initial predictions.,,Advanced,Low
entropy,noun,degree of disorder or randomness in the system,Success depends on understanding the entropy.,,Medium,Mid
multifaceted,adjective,having many different aspects to be considered,The multifaceted proposal gained widespread support.,,Advanced,Low
notwithstandin,noun,being affected by something,The notwithstandin became apparent during testing.,despite; nevertheless; nonetheless,Advanced,Low
infraction,noun,an act of breaking a rule or law,Budget constraints limited the infraction.,,Advanced,Low
notate,verb,write in notation,Doctors notate treatment based on patient response.,,Medium,Mid
inconclusive,adjective,without a conclusion,The inconclusive evidence supported the theory.,,Advanced,Low
modify,verb,to make minor changes in,Officials modify the proposal after public hearings.,,Medium,Mid
contrive,verb,to manage to do something despite difficulties,Recent studies contrive previous assumptions about climate patterns.,,Medium,Mid
disturbing,adjective,"causing feelings of worry, concern, or anxiety",The disturbing response surprised most observers.,,Advanced,Low
pessimistic,adjective,"gloomy, negative, defeatist, downbeat, cynical",Budget constraints made expansion pessimistic.,,Advanced,Low
reprimand,noun,"rebuke, reproof, reproach, scolding, criticism",The research reprimand took three years to complete.,,Advanced,Low
ultimate,adjective,final,The ultimate situation demanded immediate action.,,Medium,Mid
posit,verb,put forward as fact or as a basis for argument,Urban planners posit traffic flow through new routes.,,Core,High
sublimity,noun,a very good or fine quality that people admire,Each sublimity required separate documentation and approval.,,Advanced,Low
arbiter,noun,judge,Researchers studied the arbiter under laboratory conditions.,,Medium,Mid
fastidious,adjective,"meticulous, demanding, perfectionist, exacting",Market conditions remained fastidious throughout the year.,meticulous; squeamish adj.,Advanced,Low
afflict,verb,to cause pain or suffering to,Athletes afflict their training during off-season.,,Medium,Mid
superstition,noun,believing irrationally,The superstition became apparent during testing.,,Advanced,Low
compelling,adjective,"powerful, irresistible, convincing, persuasive",The compelling design won several awards.,,Advanced,Low
hearsay,noun,things that you have heard,The team's hearsay improved over time.,,Medium,Mid
slant,noun,a particular point of view,Historical records documented the slant.,angle; stance; bias,Core,High
nutritive,adjective,nutritional,Weather remained nutritive during the expedition.,,Advanced,Low
disinterested,adjective,"impartial, unbiased",Her disinterested approach solved the complex problem.,impartial (); indifferent (),Advanced,Low
peruse,verb,"to read something, especially in a careful way",Engineers peruse the bridge design after stress tests.,,Medium,Mid
precursor,noun,forerunner,The precursor affected production schedules throughout the quarter.,,Advanced,Low
frantically,adverb,"in a hurried, excited, or disorganized manner",The process moved frantically through each phase.,,Advanced,Low
affectionate,adjective,showing caring feelings and love for somebody,The affectionate situation demanded immediate action.,,Advanced,Low
lackluster,adjective,not interesting or exciting,The team showed lackluster improvement over time.,,Advanced,Low
smash,verb,"shatter, destroy, crash n. hit, great success",Teachers smash different learning styles in lesson plans.,,Core,High
champion,verb,"advocate, promote, plead for, defend, support",Scientists champion their hypothesis through experimentation.,,Medium,Mid
refute,verb,rebut,Administrators refute the new policy immediately.,,Medium,Mid
profusion,noun,a very large quantity of something,Competition revealed each participant's profusion.,,Advanced,Low
dirge,noun,a song sung at a funeral or for a dead person,The dirge became apparent during testing.,,Core,High
opinionated,adjective,dogmatic,The opinionated design won several awards.,,Advanced,Low
pervasive,adjective,"widespread, permeating, extensive, ubiquitous",Their pervasive strategy proved effective.,,Advanced,Low
inordinate,adjective,far more than is usual or expected,The inordinate evidence supported the theory.,,Advanced,Low
categorize,verb,to put people or things into groups,Officials categorize the proposal after public hearings.,,Advanced,Low
designation,noun,"appointment, nomination",The designation influenced the committee's final decision.,,Advanced,Low
cope,verb,to deal successfully with something difficult,Engineers cope the bridge design after stress tests.,,Core,High
dike,noun,a long thick wall that is built to stop water,The dike affected production schedules throughout the quarter.,,Core,High
dislodge,verb,remove,Museums dislodge artifacts from private collectors.,,Medium,Mid
premeditated,adjective,planned in advance,The premeditated situation demanded immediate action.,,Advanced,Low
divulge,verb,make known,Urban planners divulge traffic flow through new routes.,,Medium,Mid
drawback,noun,disadvantage,Each drawback required separate documentation and approval.,,Medium,Mid
contingency,noun,"incident, occurrence, emergency, chance event",Researchers studied the contingency under laboratory conditions.,,Advanced,Low
brook,noun,"a small river v. allow, tolerate, stand, bear",Success depends on understanding the brook.,,Core,High
prudent,adjective,marked by circumspection,The prudent proposal gained widespread support.,,Medium,Mid
fragility,noun,"delicacy, frailty, brittleness, vulnerability",The fragility became apparent during testing.,,Advanced,Low
drastic,adjective,"extreme, intense, violent, desperate, radical",The drastic design won several awards.,dramatic; forceful,Medium,Mid
deter,verb,to discourage or prevent,Doctors deter treatment based on patient response.,,Core,High
obedient,adjective,"compliant, yielding, loyal, docile, tractable",The obedient evidence supported the theory.,,Medium,Mid
cosmopolitan,adjective,"international, worldly, sophisticated, urbane",Weather remained cosmopolitan during the expedition.,,Advanced,Low
succinct,adjective,concise,Her succinct approach solved the complex problem.,,Medium,Mid
