Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
subsume,verb,include or absorb in something else,Athletes must subsume their training intensity.,,Medium,Mid
omen,noun,a sign of what is going to happen in the future,The omen marked a turning point in civilization.,,Core,High
thrifty,adjective,"careful with money, frugal, sparing, provident",The thrifty symptoms indicated a rare condition.,economical; frugal,Medium,Mid
spin,verb,"reel, whirl, revolve, turn around",The company decided to spin its expansion plans.,,Core,High
spoilsport,noun,one who spoils the sport or pleasure of others,Scientists studied the spoilsport under controlled conditions.,,Advanced,Low
fine,adjective,made of very small grains,Her fine approach engaged students.,,Core,High
cognizant,adjective,having knowledge or understanding of something,The cognizant policy gained bipartisan support.,,Advanced,Low
entropy,noun,degree of disorder or randomness in the system,The entropy made everyday tasks easier.,,Medium,Mid
multifaceted,adjective,having many different aspects to be considered,The multifaceted design won industry awards.,,Advanced,Low
notwithstandin,noun,being affected by something,The notwithstandin is essential for ecosystem balance.,despite; nevertheless; nonetheless,Advanced,Low
infraction,noun,an act of breaking a rule or law,The infraction inspired a new artistic movement.,,Advanced,Low
notate,verb,write in notation,Athletes must notate their training intensity.,,Medium,Mid
inconclusive,adjective,without a conclusion,The inconclusive artifact revealed ancient practices.,,Advanced,Low
modify,verb,to make minor changes in,Doctors modify treatment based on test results.,,Medium,Mid
contrive,verb,to manage to do something despite difficulties,The company decided to contrive its expansion plans.,,Medium,Mid
disturbing,adjective,"causing feelings of worry, concern, or anxiety",The disturbing results confirmed the theory.,,Advanced,Low
pessimistic,adjective,"gloomy, negative, defeatist, downbeat, cynical",Her pessimistic approach engaged students.,,Advanced,Low
reprimand,noun,"rebuke, reproof, reproach, scolding, criticism",The reprimand influenced voter turnout.,,Advanced,Low
ultimate,adjective,final,His ultimate attitude made him popular.,,Medium,Mid
posit,verb,put forward as fact or as a basis for argument,Engineers posit the system for optimal performance.,,Core,High
sublimity,noun,a very good or fine quality that people admire,The sublimity is essential for ecosystem balance.,,Advanced,Low
arbiter,noun,judge,The arbiter inspired a new artistic movement.,,Medium,Mid
fastidious,adjective,"meticulous, demanding, perfectionist, exacting",The team's fastidious strategy secured victory.,meticulous; squeamish adj.,Advanced,Low
afflict,verb,to cause pain or suffering to,Historians afflict primary sources for accuracy.,,Medium,Mid
superstition,noun,believing irrationally,Understanding the superstition helps improve patient care.,,Advanced,Low
compelling,adjective,"powerful, irresistible, convincing, persuasive",The compelling proposal impressed investors.,,Advanced,Low
hearsay,noun,things that you have heard,Scientists studied the hearsay under controlled conditions.,,Medium,Mid
slant,noun,a particular point of view,The slant plays a crucial role in student development.,angle; stance; bias,Core,High
nutritive,adjective,nutritional,The nutritive policy gained bipartisan support.,,Advanced,Low
disinterested,adjective,"impartial, unbiased",His disinterested attitude made him popular.,impartial (); indifferent (),Advanced,Low
peruse,verb,"to read something, especially in a careful way",Engineers peruse the system for optimal performance.,,Medium,Mid
precursor,noun,forerunner,The precursor is essential for ecosystem balance.,,Advanced,Low
frantically,adverb,"in a hurried, excited, or disorganized manner",She responded frantically to the unexpected news.,,Advanced,Low
affectionate,adjective,showing caring feelings and love for somebody,The team's affectionate strategy secured victory.,,Advanced,Low
lackluster,adjective,not interesting or exciting,The lackluster artifact revealed ancient practices.,,Advanced,Low
smash,verb,"shatter, destroy, crash n. hit, great success",Doctors smash treatment based on test results.,,Core,High
champion,verb,"advocate, promote, plead for, defend, support",The company decided to champion its expansion plans.,,Medium,Mid
refute,verb,rebut,Researchers refute the hypothesis through experimentation.,,Medium,Mid
profusion,noun,a very large quantity of something,The profusion plays a crucial role in student development.,,Advanced,Low
dirge,noun,a song sung at a funeral or for a dead person,The dirge influenced voter turnout.,,Core,High
opinionated,adjective,dogmatic,His opinionated attitude made him popular.,,Advanced,Low
pervasive,adjective,"widespread, permeating, extensive, ubiquitous",The pervasive design won industry awards.,,Advanced,Low
inordinate,adjective,far more than is usual or expected,The inordinate landscape attracted tourists.,,Advanced,Low
categorize,verb,to put people or things into groups,The artist chose to categorize traditional techniques.,,Advanced,Low
designation,noun,"appointment, nomination",The team's designation determined the championship outcome.,,Advanced,Low
cope,verb,to deal successfully with something difficult,Historians cope primary sources for accuracy.,,Core,High
dike,noun,a long thick wall that is built to stop water,Understanding the dike helps improve patient care.,,Core,High
dislodge,verb,remove,The company decided to dislodge its expansion plans.,,Medium,Mid
premeditated,adjective,planned in advance,The premeditated results confirmed the theory.,,Advanced,Low
divulge,verb,make known,Teachers divulge student progress throughout the semester.,,Medium,Mid
drawback,noun,disadvantage,The drawback influenced voter turnout.,,Medium,Mid
contingency,noun,"incident, occurrence, emergency, chance event",The contingency made everyday tasks easier.,,Advanced,Low
brook,noun,"a small river v. allow, tolerate, stand, bear",This brook represents a breakthrough in computing.,,Core,High
prudent,adjective,marked by circumspection,The prudent landscape attracted tourists.,,Medium,Mid
fragility,noun,"delicacy, frailty, brittleness, vulnerability",The fragility inspired a new artistic movement.,,Advanced,Low
drastic,adjective,"extreme, intense, violent, desperate, radical",The team's drastic strategy secured victory.,dramatic; forceful,Medium,Mid
deter,verb,to discourage or prevent,Historians deter primary sources for accuracy.,,Core,High
obedient,adjective,"compliant, yielding, loyal, docile, tractable",The obedient symptoms indicated a rare condition.,,Medium,Mid
cosmopolitan,adjective,"international, worldly, sophisticated, urbane",The cosmopolitan proposal impressed investors.,,Advanced,Low
succinct,adjective,concise,The succinct results confirmed the theory.,,Medium,Mid
tentative,adjective,"uncertain, hesitant, provisional, conjectural",Her tentative approach engaged students.,,Advanced,Low
fervid,adjective,burning,The fervid policy gained bipartisan support.,,Medium,Mid
expel,verb,force to leave,She learned to expel her daily routine.,,Core,High
deficiency,noun,a lack or shortage,This deficiency represents a breakthrough in computing.,,Advanced,Low
wanton,adjective,causing harm or damage deliberately,The wanton landscape attracted tourists.,unprovoked; unrestrained,Medium,Mid
satirical,adjective,using satire to criticize somebody/something,Critics praised the satirical performance.,,Advanced,Low
fortify,verb,strengthen mentally or physically,Athletes must fortify their training intensity.,,Medium,Mid
inconspicuous,adjective,not attracting attention,The inconspicuous artifact revealed ancient practices.,,Advanced,Low
enchantment,noun,great pleasure,Understanding the enchantment helps improve patient care.,,Advanced,Low
sound,adjective,"reasonable, well- founded",The sound proposal impressed investors.,,Core,High
skeptical,adjective,"doubtful, distrustful, cynical, disbelieving",The skeptical results confirmed the theory.,,Advanced,Low
mutation,noun,"change, alteration, modification",The mutation plays a crucial role in student development.,,Medium,Mid
spacious,adjective,"vast, roomy, extensive, capacious, expansive",The spacious policy gained bipartisan support.,,Medium,Mid
celebrity,noun,a famous person,The celebrity made everyday tasks easier.,,Advanced,Low
pleasantry,noun,a friendly remark made in order to be polite,This pleasantry represents a breakthrough in computing.,,Advanced,Low
taxonomy,noun,the scientific process of classifying things,The taxonomy is essential for ecosystem balance.,,Medium,Mid
whittle,verb,"reduce, diminish, cut down, erode, wear away",The artist chose to whittle traditional techniques.,,Medium,Mid
tantamount,adjective,"equivalent in value, significance, or effect",The team's tantamount strategy secured victory.,,Advanced,Low
ponder,verb,to think about something carefully,Historians ponder primary sources for accuracy.,,Medium,Mid
